time,well,OD600,date,label,strain,vector,media
0,A1,0.086,04182026,NB,NB,None,CDM20
0,A2,0.11,04182026,Parent,Parent,None,CDM20
0,A3,0.112,04182026,Parent_EV,Parent,EV,CDM20
0,A4,0.112,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM20
0,A5,0.111,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM20
0,A6,0.114,04182026,Parent_alr1,Parent,alr1,CDM20
0,A7,0.113,04182026,dat::Tn,dat::Tn,None,CDM20
0,A8,0.11,04182026,dat::Tn_EV,dat::Tn,EV,CDM20
0,A9,0.11,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM20
0,A10,0.112,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM20
0,A11,0.118,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM20
0,A12,0.111,04182026,Δalr1,Δalr1,None,CDM20
0,B1,0.086,04182026,NB,NB,None,CDM20
0,B2,0.11,04182026,Parent,Parent,None,CDM20
0,B3,0.114,04182026,Parent_EV,Parent,EV,CDM20
0,B4,0.113,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM20
0,B5,0.112,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM20
0,B6,0.108,04182026,Parent_alr1,Parent,alr1,CDM20
0,B7,0.113,04182026,dat::Tn,dat::Tn,None,CDM20
0,B8,0.111,04182026,dat::Tn_EV,dat::Tn,EV,CDM20
0,B9,0.112,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM20
0,B10,0.113,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM20
0,B11,0.111,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM20
0,B12,0.113,04182026,Δalr1,Δalr1,None,CDM20
0,C1,0.114,04182026,Δalr1_EV,Δalr1,EV,CDM20
0,C2,0.11,04182026,Δalr1_alr1,Δalr1,alr1,CDM20
0,C3,0.092,04182026,NB,NB,None,TSB
0,C4,0.133,04182026,Parent,Parent,None,TSB
0,C5,0.13,04182026,Parent_EV,Parent,EV,TSB
0,C6,0.128,04182026,Parent_Pdat dat,Parent,Pdat dat,TSB
0,C7,0.133,04182026,Parent_PpepV dat,Parent,PpepV dat,TSB
0,C8,0.13,04182026,Parent_alr1,Parent,alr1,TSB
0,C9,0.13,04182026,dat::Tn,dat::Tn,None,TSB
0,C10,0.133,04182026,dat::Tn_EV,dat::Tn,EV,TSB
0,C11,0.128,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,TSB
0,C12,0.123,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,TSB
0,D1,0.114,04182026,Δalr1_EV,Δalr1,EV,CDM20
0,D2,0.113,04182026,Δalr1_alr1,Δalr1,alr1,CDM20
0,D3,0.092,04182026,NB,NB,None,TSB
0,D4,0.133,04182026,Parent,Parent,None,TSB
0,D5,0.133,04182026,Parent_EV,Parent,EV,TSB
0,D6,0.13,04182026,Parent_Pdat dat,Parent,Pdat dat,TSB
0,D7,0.129,04182026,Parent_PpepV dat,Parent,PpepV dat,TSB
0,D8,0.126,04182026,Parent_alr1,Parent,alr1,TSB
0,D9,0.134,04182026,dat::Tn,dat::Tn,None,TSB
0,D10,0.129,04182026,dat::Tn_EV,dat::Tn,EV,TSB
0,D11,0.121,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,TSB
0,D12,0.121,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,TSB
0,E1,0.112,04182026,Δalr1_EV,Δalr1,EV,CDM19 - ala
0,E2,0.11,04182026,Δalr1_alr1,Δalr1,alr1,CDM19 - ala
0,E3,0.131,04182026,dat::Tn_alr1,dat::Tn,alr1,TSB
0,E4,0.128,04182026,Δalr1,Δalr1,None,TSB
0,E5,0.13,04182026,Δalr1_EV,Δalr1,EV,TSB
0,E6,0.127,04182026,Δalr1_alr1,Δalr1,alr1,TSB
0,F1,0.113,04182026,Δalr1_EV,Δalr1,EV,CDM19 - ala
0,F2,0.11,04182026,Δalr1_alr1,Δalr1,alr1,CDM19 - ala
0,F3,0.129,04182026,dat::Tn_alr1,dat::Tn,alr1,TSB
0,F4,0.129,04182026,Δalr1,Δalr1,None,TSB
0,F5,0.13,04182026,Δalr1_EV,Δalr1,EV,TSB
0,F6,0.126,04182026,Δalr1_alr1,Δalr1,alr1,TSB
0,G1,0.086,04182026,NB,NB,None,CDM19 - ala
0,G2,0.11,04182026,Parent,Parent,None,CDM19 - ala
0,G3,0.11,04182026,Parent_EV,Parent,EV,CDM19 - ala
0,G4,0.111,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM19 - ala
0,G5,0.111,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM19 - ala
0,G6,0.112,04182026,Parent_alr1,Parent,alr1,CDM19 - ala
0,G7,0.111,04182026,dat::Tn,dat::Tn,None,CDM19 - ala
0,G8,0.11,04182026,dat::Tn_EV,dat::Tn,EV,CDM19 - ala
0,G9,0.106,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM19 - ala
0,G10,0.111,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM19 - ala
0,G11,0.109,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM19 - ala
0,G12,0.108,04182026,Δalr1,Δalr1,None,CDM19 - ala
0,H1,0.087,04182026,NB,NB,None,CDM19 - ala
0,H2,0.112,04182026,Parent,Parent,None,CDM19 - ala
0,H3,0.113,04182026,Parent_EV,Parent,EV,CDM19 - ala
0,H4,0.112,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM19 - ala
0,H5,0.111,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM19 - ala
0,H6,0.122,04182026,Parent_alr1,Parent,alr1,CDM19 - ala
0,H7,0.11,04182026,dat::Tn,dat::Tn,None,CDM19 - ala
0,H8,0.108,04182026,dat::Tn_EV,dat::Tn,EV,CDM19 - ala
0,H9,0.107,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM19 - ala
0,H10,0.106,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM19 - ala
0,H11,0.108,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM19 - ala
0,H12,0.11,04182026,Δalr1,Δalr1,None,CDM19 - ala
1,A1,0.086,04182026,NB,NB,None,CDM20
1,A2,0.117,04182026,Parent,Parent,None,CDM20
1,A3,0.119,04182026,Parent_EV,Parent,EV,CDM20
1,A4,0.118,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM20
1,A5,0.118,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM20
1,A6,0.12,04182026,Parent_alr1,Parent,alr1,CDM20
1,A7,0.121,04182026,dat::Tn,dat::Tn,None,CDM20
1,A8,0.118,04182026,dat::Tn_EV,dat::Tn,EV,CDM20
1,A9,0.116,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM20
1,A10,0.118,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM20
1,A11,0.117,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM20
1,A12,0.117,04182026,Δalr1,Δalr1,None,CDM20
1,B1,0.087,04182026,NB,NB,None,CDM20
1,B2,0.116,04182026,Parent,Parent,None,CDM20
1,B3,0.12,04182026,Parent_EV,Parent,EV,CDM20
1,B4,0.12,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM20
1,B5,0.118,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM20
1,B6,0.115,04182026,Parent_alr1,Parent,alr1,CDM20
1,B7,0.121,04182026,dat::Tn,dat::Tn,None,CDM20
1,B8,0.118,04182026,dat::Tn_EV,dat::Tn,EV,CDM20
1,B9,0.118,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,CDM20
1,B10,0.119,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,CDM20
1,B11,0.117,04182026,dat::Tn_alr1,dat::Tn,alr1,CDM20
1,B12,0.118,04182026,Δalr1,Δalr1,None,CDM20
1,C1,0.12,04182026,Δalr1_EV,Δalr1,EV,CDM20
1,C2,0.117,04182026,Δalr1_alr1,Δalr1,alr1,CDM20
1,C3,0.091,04182026,NB,NB,None,TSB
1,C4,0.201,04182026,Parent,Parent,None,TSB
1,C5,0.196,04182026,Parent_EV,Parent,EV,TSB
1,C6,0.19,04182026,Parent_Pdat dat,Parent,Pdat dat,TSB
1,C7,0.211,04182026,Parent_PpepV dat,Parent,PpepV dat,TSB
1,C8,0.196,04182026,Parent_alr1,Parent,alr1,TSB
1,C9,0.203,04182026,dat::Tn,dat::Tn,None,TSB
1,C10,0.206,04182026,dat::Tn_EV,dat::Tn,EV,TSB
1,C11,0.178,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,TSB
1,C12,0.157,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,TSB
1,D1,0.121,04182026,Δalr1_EV,Δalr1,EV,CDM20
1,D2,0.119,04182026,Δalr1_alr1,Δalr1,alr1,CDM20
1,D3,0.092,04182026,NB,NB,None,TSB
1,D4,0.209,04182026,Parent,Parent,None,TSB
1,D5,0.202,04182026,Parent_EV,Parent,EV,TSB
1,D6,0.199,04182026,Parent_Pdat dat,Parent,Pdat dat,TSB
1,D7,0.208,04182026,Parent_PpepV dat,Parent,PpepV dat,TSB
1,D8,0.195,04182026,Parent_alr1,Parent,alr1,TSB
1,D9,0.206,04182026,dat::Tn,dat::Tn,None,TSB
1,D10,0.204,04182026,dat::Tn_EV,dat::Tn,EV,TSB
1,D11,0.164,04182026,dat::Tn_Pdat dat,dat::Tn,Pdat dat,TSB
1,D12,0.155,04182026,dat::Tn_PpepV dat,dat::Tn,PpepV dat,TSB
1,E1,0.114,04182026,Δalr1_EV,Δalr1,EV,CDM19 - ala
1,E2,0.113,04182026,Δalr1_alr1,Δalr1,alr1,CDM19 - ala
1,E3,0.188,04182026,dat::Tn_alr1,dat::Tn,alr1,TSB
1,E4,0.182,04182026,Δalr1,Δalr1,None,TSB
1,E5,0.195,04182026,Δalr1_EV,Δalr1,EV,TSB
1,E6,0.195,04182026,Δalr1_alr1,Δalr1,alr1,TSB
1,F1,0.116,04182026,Δalr1_EV,Δalr1,EV,CDM19 - ala
1,F2,0.113,04182026,Δalr1_alr1,Δalr1,alr1,CDM19 - ala
1,F3,0.198,04182026,dat::Tn_alr1,dat::Tn,alr1,TSB
1,F4,0.189,04182026,Δalr1,Δalr1,None,TSB
1,F5,0.204,04182026,Δalr1_EV,Δalr1,EV,TSB
1,F6,0.181,04182026,Δalr1_alr1,Δalr1,alr1,TSB
1,G1,0.086,04182026,NB,NB,None,CDM19 - ala
1,G2,0.113,04182026,Parent,Parent,None,CDM19 - ala
1,G3,0.113,04182026,Parent_EV,Parent,EV,CDM19 - ala
1,G4,0.115,04182026,Parent_Pdat dat,Parent,Pdat dat,CDM19 - ala
1,G5,0.114,04182026,Parent_PpepV dat,Parent,PpepV dat,CDM19 - ala
1,G6,0.115,04182026,Parent_alr1,Parent,alr1,CDM19 - ala
1,G7,0.114,04182026,dat::Tn,dat::Tn,None,CDM19 - ala
1,G8,0.113,04182026,dat::Tn_EV,dat::Tn,EV,CDM19 - ala
