date,species,KPL,nickname,line,temp,time,Abs
2/6/2025,Uncol,Uncol,Uncol,HNO918,34,0,0.083
2/6/2025,Uncol,Uncol,Uncol,HNO918,34,24,0.08
2/13/2025,Uncol,Uncol,Uncol,HNO204,34,0,0.117
2/13/2025,Uncol,Uncol,Uncol,HNO204,34,24,0.11
4/8/2025,Uncol,Uncol,Uncol,HNO204,34,0,0.096
4/8/2025,Uncol,Uncol,Uncol,HNO204,34,24,0.09
10/1/2024,Uncol,Uncol,Uncol,HNO919,34,0,0.089
10/1/2024,Uncol,Uncol,Uncol,HNO919,34,8,0.08
10/22/2024,Uncol,Uncol,Uncol,HNO919,34,0,0.084
10/22/2024,Uncol,Uncol,Uncol,HNO919,34,8,0.074
2/6/2025,Uncol,Uncol,Uncol,HNO918,34,0,0.089
2/6/2025,Uncol,Uncol,Uncol,HNO918,34,24,0.08
2/13/2025,Uncol,Uncol,Uncol,HNO204,34,0,0.119
2/13/2025,Uncol,Uncol,Uncol,HNO204,34,24,0.11
4/8/2025,Uncol,Uncol,Uncol,HNO204,34,0,0.098
4/8/2025,Uncol,Uncol,Uncol,HNO204,34,24,0.091
10/1/2024,Uncol,Uncol,Uncol,HNO919,34,0,0.089
10/1/2024,Uncol,Uncol,Uncol,HNO919,34,8,0.081
10/22/2024,Uncol,Uncol,Uncol,HNO919,34,0,0.089
10/22/2024,Uncol,Uncol,Uncol,HNO919,34,8,0.075
2/6/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,0,0.088
2/6/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,24,0.081
2/13/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,0,0.131
2/13/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,24,0.133
4/8/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,0,0.105
4/8/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,24,0.093
10/1/2024,S. aureus,KPL4403,LAC,HNO919,34,0,0.087
10/1/2024,S. aureus,KPL4403,LAC,HNO919,34,8,0.081
10/22/2024,S. aureus,KPL4403,LAC,HNO919,34,0,0.089
10/22/2024,S. aureus,KPL4403,LAC,HNO919,34,8,0.078
2/6/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,0,0.086
2/6/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,24,0.082
2/13/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,0,0.13
2/13/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,24,0.13
4/8/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,0,0.099
4/8/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO204,34,24,0.092
10/1/2024,S. aureus,KPL4403,LAC,HNO919,34,0,0.085
10/1/2024,S. aureus,KPL4403,LAC,HNO919,34,8,0.079
10/22/2024,S. aureus,KPL4403,LAC,HNO919,34,0,0.084
10/22/2024,S. aureus,KPL4403,LAC,HNO919,34,8,0.075
2/6/2025,S. aureus,KPL2115,JE2,HNO918,34,0,0.099
2/6/2025,S. aureus,KPL2115,JE2,HNO918,34,24,0.79
2/13/2025,S. aureus,KPL2115,JE2,HNO204,34,0,0.136
2/13/2025,S. aureus,KPL2115,JE2,HNO204,34,24,1.899
4/8/2025,S. aureus,KPL2115,JE2,HNO204,34,0,0.099
4/8/2025,S. aureus,KPL2115,JE2,HNO204,34,24,0.595
10/1/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,0,0.1
10/1/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,8,0.085
10/22/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,0,0.085
10/22/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,8,0.076
2/6/2025,S. aureus,KPL2115,JE2,HNO918,34,0,0.096
2/6/2025,S. aureus,KPL2115,JE2,HNO918,34,24,0.783
2/13/2025,S. aureus,KPL2115,JE2,HNO204,34,0,0.128
2/13/2025,S. aureus,KPL2115,JE2,HNO204,34,24,1.865
4/8/2025,S. aureus,KPL2115,JE2,HNO204,34,0,0.095
4/8/2025,S. aureus,KPL2115,JE2,HNO204,34,24,0.566
10/1/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,0,0.097
10/1/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,8,0.085
10/22/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,0,0.083
10/22/2024,S. aureus,KPL4447,LAC Tn Library,HNO919,34,8,0.078
2/19/2025,Uncol,Uncol,Uncol,HNO918,34,0,0.082
2/19/2025,Uncol,Uncol,Uncol,HNO918,34,0,0.084
2/19/2025,S. aureus,KPL2115,JE2,HNO918,34,0,0.085
2/19/2025,S. aureus,KPL2115,JE2,HNO918,34,0,0.088
2/19/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,0,0.092
2/19/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,0,0.095
2/19/2025,Uncol,Uncol,Uncol,HNO918,34,24,0.089
2/19/2025,Uncol,Uncol,Uncol,HNO918,34,24,0.091
2/19/2025,S. aureus,KPL2115,JE2,HNO918,34,24,0.345
2/19/2025,S. aureus,KPL2115,JE2,HNO918,34,24,0.354
2/19/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,24,0.109
2/19/2025,S. aureus,KPL4465,JE2 hla::Tn,HNO918,34,24,0.107
4/18/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.089
4/18/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.092
4/18/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.086
4/18/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.085
4/18/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.088
4/18/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.087
4/18/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.153
4/18/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.149
4/20/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.1
4/20/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.096
4/20/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.089
4/20/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.095
4/20/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.096
4/20/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.093
4/20/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.159
4/20/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.153
4/21/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.097
4/21/2026,Uncol,Uncol,Uncol,HNO204,34,0,0.098
4/21/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.089
4/21/2026,Uncol,Uncol,Uncol,HNO204,34,16,0.094
4/21/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.101
4/21/2026,S. aureus,KPL4558,502a,HNO204,34,0,0.098
4/21/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.156
4/21/2026,S. aureus,KPL4558,502a,HNO204,34,16,0.151
4/25/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.091
4/25/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.09
4/25/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.094
4/25/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.092
4/25/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.089
4/25/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.093
4/25/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.099
4/25/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.093
4/28/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.1
4/28/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.102
4/28/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.097
4/28/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.098
4/28/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.104
4/28/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.106
4/28/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.093
4/28/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.094
4/28/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.1
4/28/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.096
4/28/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.115
4/28/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.111
5/5/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.103
5/5/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.103
5/5/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.1
5/5/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.1
5/5/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.102
5/5/2026,S. aureus,KPL2715,KPL2715,HNO918,34,0,0.102
5/5/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.098
5/5/2026,S. aureus,KPL2715,KPL2715,HNO918,34,24,0.092
5/5/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.094
5/5/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.093
5/5/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.136
5/5/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.14
5/6/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.093
5/6/2026,Uncol,Uncol,Uncol,HNO918,34,0,0.092
5/6/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.106
5/6/2026,Uncol,Uncol,Uncol,HNO918,34,24,0.108
5/6/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.094
5/6/2026,S. aureus,KPL4559,KPL4559,HNO918,34,0,0.093
5/6/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.143
5/6/2026,S. aureus,KPL4559,KPL4559,HNO918,34,16,0.139
